Transaction ID,Amount,Reference Number,Date,Description,Account Number
TXN001,1500.00,REF001,2024-01-15,Payment for services,ACC001
TXN002,2500.00,REF002,2024-01-16,Equipment purchase,ACC002
TXN003,755.00,REF003,2024-01-17,Office supplies (variance),ACC003
TXN004,3200.00,REF004,2024-01-18,Consulting fee,ACC004
TXN005,980.00,REF005,2024-01-19,Software license,ACC005
TXN006,1200.00,REF006,2024-01-20,Travel expenses,ACC008
TXN006,1200.00,REF006,2024-01-20,Travel expenses COPY,ACC008
TXN099,8800.00,REF099,2024-01-25,Unknown vendor,ACC099
TXN100,430.00,REFXXX,2024-01-26,Random payment,ACC100
TXN007,4500.00,REF007,2024-01-21,Hardware purchase,ACC007
